"POST_TITLE","POST_CONTENT"
"Spend or save?","Just wondering what others would do in my situation. Bought a starter home last year, just pre Liz Truss, 90% LTV, it’s a 5 year fixed rate mortgage on 2.5% which obviously I am feeling lucky about right now, but generally sharing everyone’s concern about where the economy is going. I’m getting a promotion in Sept that will amount to an extra £5k a year. What I WANT to do with this money is to go on a lovely holiday, because I sort of get the feeling that travel is only going to become harder and more expensive from here on, and I spend so long saving for the house, I would like a treat. On the other hand I’m wondering if I should be putting that extra money into overpaying the mortgage, as is no doubt sensible. I have an emergency fund, and no children. What would you do?"
"She didn't need to tell me my weight.","Just to vent as I can't share my frustration anywhere else... I went for my NHS health check yesterday, and specifically asked not to be told my weight. I said to the nurse that I've been obsessional about it in the past and it's better for me not to know, as it sets me off... In the other questions she saw that I do cardio exercise 6 days a week, and she could see from my measurements that I'm small. I didn't want to state outright that I have a long history of eating disorders. I thought she would gauge that from everything else I'd said. At the end of the appointment, on the card where she'd noted my BP, pulse, cholesterol etc she also wrote on my weight and BMI. She said ""Oh, I know you said you didn't want to know that, but..."" <tinkly laugh> Aibu to think this was not ok? Surely she would have some awareness of EDs? I'm trying so hard not to go back to the trap of weighing and feeling compelled to lose weight, but already I'm wondering if I might buy some scales just to shave off half a stone. I've fought this for 30 years and wish she had have listened to what I was telling her."
"Does no presents = doesn't care?","I've been with DH for 18 years, married for 15. I've just ordered another small Xmas present for him...just pants as his are worn and he won't replace himself. These will go with other small gifts like a book, lip balm, car ice scraper, you get the idea. As a wider extended family the adults do secret Santa and spend £50 on someone. This year I've bought for one of my BILs. My DH never participates in secret Santa and says he doesn't want anything. I don't want him to receive nothing, and the kids would care hence I buy these stocking filler gifts so he has stuff to open. He generally doesn't buy me anything. Every birthday (or xmas if I make a point) I get something I've told him to buy. He has no ideas. Doesn't know what I'd like or need. He just doesn't listen, though, because all of us comment on things on TV or adverts or whatever. He was watching a drone camera following cyclists a few months before his birthday and said he'd love a drone. So he got one. He was shocked but loves it, it'll be cool for family photos and playing down the park. Anyway over the years I have practical presents and things I've asked for. He doesn't buy household stuff so once I asked for a sideboard (cheap, not antique or anything!) and family chipped in. I really want an air fryer but can't justify it so might ask for my next birthday. But these shouldn't even be gifts in my opinion. Once on holiday he forgot my birthday altogether so eventually I toasted myself with my then toddlers at lunchtime. All he said was he lost track of dates because we were away! No real apology. So TL;DR...does the lack of thought mean he doesn't care? He does have good points, oftentimes I feel the bad outweighs the good but I'm not quite at LTB yet. But I just feel I'm not thought of or worth thinking of. Edited"
"How do I ask him to contribute to costs over Christmas","Just after some advice please. Been with my DP for 2.5 years, he is a wonderful kind man and generous to a fault. We don't yet live together due to logistics of life in middle age (work, kids schools etc) but he comes over a few evenings a week and I'll always cook tea for us all. Sometimes his DC (only has one) stays over on a weekend (2 lunches, one tea). This is included in my weekly shopping as part of my budget. I don't mind this at all as can easily cover it and I like to do it as they are guests in my house and we all get on like one big happy family. My DP is planning to stay with me over the Christmas holidays this year which will be 11 days in a row. Some of those days (maybe 3 or 4) his DC will be with us too. That makes 2 adults and 2 children (I have a DC too) over the Christmas holidays. As much as I would like to just provide all the food for us all my budget cannot stretch to this at all as my DP has a big appetite. I mentioned this to him and he said that's fine, he'd pay for all the food over the whole holidays. He would never want to see me struggle and is always happy to pay his way. I said no, we'll split the cost as I wouldn't feel comfortable accepting that much from him despite him really not having a problem doing it. (I was brought up to not accept generosity from people and my last LTR with my DC's dad was abusive and I would receive anger and stonewalling if I asked him to pay for shopping etc so I have anxiety issues over asking. My DP is aware of this. I also know this is my issue and do have counselling re past trauma issues). As I find it so hard to accept him paying anything as I feel (due to past issues) it should be me providing in my home. Just looking for some advice on how you would approach this and how you would propose to split the cost so that it's fair? (So I don't drip feed, we like different foods. I shop healthy and frugal, very little meat due to cost and he just buys what foods he likes and unhealthy stuff. He probably spends on just his food the same each week as I spend for myself and my DC in total a week. To add, he's happy to eat my healthy meals but does like his snacks around those, I don't buy snacks) Thanks for any advice. Please be kind with it too as this is something that makes me anxious."
"To ask you to tell me some good things about your significant other.","In this world of conflict and cries of LTB let's celebrate the good ones by saying three things about our wife, husband or partner. I'll go first; He takes 50% of childcare and housework and life administration without being asked. He notices if I'm struggling or shattered and buys me a ticket to a gig or picks up my share of the slack. He loves and physically takes care of people such as his mum, friends and our son."
"To ask for strategies/help calling out for lazy dh","Dh has really fucked me off this morning. There's not much of a marriage left, we're in this in-between state of clinging on hoping to get back what we had and one of us being too afraid to end it. We do generally get on OK as friends but I've ended up with an extra child not a partner. We have 2 young dc, stressful lives outside of parenting Inc work and our own parents health. It's hard. I have 100% of the mental load, I'm the only one with any motivation to do things around the house. Anytime I call him out he turns it on me and makes me out to be a nag I need some one liners or strategies or just anything advice to keep me sane please. I know ltb is the ultimate solution but its something that'll take a few years to achieve. He makes me out to be a nag and mocks me when I ask him to do things. I only have to ask because he doesn't 'see' what needs done. And even when I point it out, it can sometimes take weeks for the task to be done. I hate this being turned on me and him making me the problem."
"Leaving TB","Partner has a problem with alcohol which has become much worse since our DD was born almost two years ago. We are currently away at a family function (my family), he got pretty drunk, we left at around 8:30pm then snuck out to go to a bar whilst I was putting DD to sleep. I told him at the beginning of the night I saw he was drinking too much, too fast and please slow down as I was getting anxious about the way the evening would pan out. I've told him this evening (among many other things) that one of us needs to break the cycle and since he can't (by not giving up booze) then I'm done. Apparently I have too high standards and I'm controlling too. I've also not been affectionate and he has needs that aren't being fulfilled. The last few months I've paid off a few grand of debt of his, added him to life insurance scheme through work, encouraged him to contact GP over a cancer scare etc. But I'm just not caring or showing him any love so that's why he's drinking. So I know I need to LTB but how do I do it? We have to pack and drive home tomorrow morning (I'll do the driving!), I don't know if I'll be strong enough to stick to my guns but this ""drunk-beg forgiveness-promise I'll do better"" cycle is endless. I really need help, I've been awake since 5:30 and now can't sleep due to being so upset. Partner has thrown up (in the loo this time, better than when he threw up on the new hat I bought DD a few weeks ago) and fallen asleep on the sofa. And yet wonders why I've not been very affectionate lately... If I don't post again tonight it's because I've finally fallen asleep but I need to write this down so I can read it again in the cold light of day. Thank you mumsnet for being here ❤️"
"Partner has upset me","Some slow burn upset has crept upon me this morning. Bf and I went to a party this past weekend where some of my relatives attended. On the way I was trying to describe who would be there, which children belonged to which cousin/aunt etc. As I was doing this, he interjected with ""Oh, I know. The one whose kids are soft."" It took me a second to realise what he meant at first, as I was driving and focusing on the road, but what who he was referring to were my relations with autism. He called them soft. I didn't have much time to react, as again - driving. But also this was said not far from us arriving to our destination and I didn't want to ruin the children's party by having a face like thunder and causing drama so I swallowed it down and got on with things. But on the drive home I kept thinking about it, and I started feeling upset. I can't imagine saying that about someone in the first place, let alone about the relative of someone you're in a LTR with? What made it worse, is I am currently waiting to be diagnosed as an adult with autism, so I am panicking now if I do get that diagnosis, will he think that of me too? Or am I just overreacting and being defensive of my family? We have had issues before where he has implied that my diagnosis may be used as a get out of jail free card, and I'll use it as an excuse, when really, I just want to know wtf is going on inside of my head. So this has added further dimension to that. We've been together for nearly 10 years now, house, anniversary this week. And on top of all of our other issues this feels like the cherry on top of the shit sundae that is our relationship at the minute. :( What do you think? Am I being a baby here?"
"Is that ok to say that?","Don’t know anymore… Dh has told me several times now ‘if you have a problem with that, then do it yourself’. Context: I’m chronically ill and have been bad for about 1.5years. By that I mean I’m lying down 22 hours a day. Can’t get up etc… cardiologist involved but so far it hasn’t made a huge difference. I just cannot physically get up and prepare a meal etc… or not Wo a huge cost to me. Last time DH made that comment it was around a joke I made (done many many times before) that I ‘should put a complaint’ because there was fish bones in a fish. I mean even dc who is on the spectrum knew it was a joke and not an attack on DH cooking. I never say anything about his cooking anyway. Another time was about moving house and DH deciding we would move to <name of town>. And being told that I’d have to move there because ‘you can’t stay here on your own anyway’. Now I understand having to suddenly do the whole HW/cooking etc… is a pain for him. Esp after years of me doing it all . But it very much feels like ‘shut up and put up with it’ because you’re disabled so don’t have a say. I can’t see the wood for the trees anymore. Could you tell me if you think this is ok to say that and why? Or why you don’t feel it’s ok to talk to me like this?"
"Meatballs as far as the eye can see!","I have (another!) culinary slip up and I need some ideas for tonight’s dinner! DS loves Swedish meatballs and we keep a big bag in the freezer for him as a quick meal when needed. Unfortunately 2 nights ago he put them in the fridge, not the freezer…. I’ve just discovered them so think I probably need to use them tonight…..it says on the pack not to re-freeze. We had spaghetti and meatballs two nights ago so I don’t really just want to do a variation of that. Any ideas what I could make with them instead? Could I mash them up and make something totally different?? My brain has gone blank and online I’m just finding variations of meatballs with pasta, which I know I could do. Also DD doesn’t like “meatballs” but does eat burgers, cottage pie etc so might eat them if they were presented differently…. It’s a huge brand new bag as well so there’s TONS of the bastard things…. Can anyone help with inspiration? I’d be very grateful. YABU: just cook them with spaghetti again YANBU: No, do something different and here’s my fabulous recipe <insert idea here pleeeeeeease>"
"Advice on dating after LTR","So, separated a few months now after a very long relationship, kids etc... In reality the relationship was on the rocks over a year ago and we lived quite separate lives last year. Anyway, back dating and met up with someone a couple of times over the last week. Had an amazing 2nd date, 3rd tomorrow and there is definitely a mutual connection. Both late 40s, both have kids but I do have a couple of questions: Is it too soon to buy flowers (3rd date) - I would like to but worried that looks a bit keen. Also, without jumping the gun, when do people look to go exclusive? Looking around it seems a lot of advice is 3 months which for me is far too long? Assuming the 3rd and 4th date go well, I would like to think that is the time to not look at other dates?"
"LTR/Marriage and mis matched sex drives","So this is just a thought provoking and interested in opinions thread. The other day I was talking to a friend who was telling me about a friend of hers thats just found out her husband has been having an affair. It transpires that this couple had only had sex a handful of times in the last 5 years and nothing for the last two years, she didn't want to and had basically made him celibate. My response was along the lines of no excuse for an affair, leave if you're unhappy, but what did she expect. Anyway this got me thinking that the biggest reason for any (otherwise normal) LTR/marriage break up and/or affair is a mis matched sex drive between the couple. Whether both of you are at it like rabbits or both are rarely interested in more than a cuddle, surely being on the same page as far as sex goes is the key to couples staying together for many years. Just interested to hear others thoughts on this one"
"To think I’m past the point of being able to get pg?","I’m 43. Two DC conceived in my twenties. Termination at 34, MC at 37, MC at 41. So it’s been nearly 10 years since I conceived a viable pregnancy (at least it was viable up until the point of termination). MCs were very early, around the 6 week mark. After my last MC I had a copper coil fitted, which was a nightmare - agonising periods, which went on for ages. And terrible problems with BV. I had it for about 8 months and couldn’t take it any longer. Since then, so the last 16 months or so, I started just avoiding my most fertile times as a way of avoiding pregnancy. But over that time I’ve definitely entered peri and my periods are all over the shop now, I don’t know if my cycle will be 2 weeks or 5 months! So it’s kind of impossible to know when I’m going to ovulate. To begin with, when they first started becoming irregular, it transpired that my ovulation time was right around when I’d been having a lot of sex, but hadn’t got pregnant. So I’d tried to avoid fertile times but accidentally did the opposite, but only realised when my period arrived. And I admit that, once this had happened a fair few times I became a bit complacent about the fact that I just won’t get pregnant. Trust me, I have exhausted all types of contraception and none of them work for me, the only one I could use is condoms. But if I’ve been having regular (like a lot of times a week) unprotected sex for 16 months, at my age, and no sign of pregnancy at all, it’s pretty unlikely to happen, isn’t it? I feel like if I was WANTING to conceive, that’s what I’d be told! I am in a LTR and whilst a pregnancy wouldn’t be the end of the world, I’d rather it didn’t happen. Edited"
"Ended my relationship - AIBU?","I am just looking for other to give their opinions on my relationship experience. I'm wondering if I'm right/wrong/unreasonable/impatient/etc? So I met a man at about the same time he separated from his wife - bad timing right? It was very intense from the start, he had feelings quickly. I questioned the validity of them and tried to temper his advances. Managed this (with a lot of back and forth) for around 6 months. It didn't work, I also gave in to my feelings and we began our relationship, which lasted for a year. His ex did not take his leaving their marriage well at all (3 kids < 10) and has made it her life mission to make his life impossible to move on with. I'd not be thrilled either, but he's not a bad man, and she has definitely fuelled the end of their marriage with her behavior by sounds of it. She has flat out refused ANY discussion since separating (1.5 years) regarding children, house selling, finances and everything else, ignores the legal letters. He doesn't love her and I dont believe she loves him - she just doesn't want her nice life bankrolled by him to change (she earns less than him and would have to make some major adjustments to lifestyle). He has always been very sure of me, good communicator, so loving and caring, loads of lovely time spent together. I was so crazy about him, and vice versa (or so I thought). I have met his family and some friends, but he had not told her about us (a year in...) as he anticipated that she would go nutty , and it would be further ammunition for her to bash him to the kids and with hold them further. I feel as though I've been holding his hand throughout this process, continually motivating him and trying to help him see his worth as a man and as a father. He's been thankful and appreciative but I just don't feel like he's had a goal in mind, or considered what he actually needs to do to move forward. She will not allow him the kids overnight and if she says he's not seeing them X week, then that's it, he's s just not seeing them. He says these things take time to sort out, but how long does he expect me to wait /remain in the shadows. It is clear to me (and basically everyone else) that even with the best will in the world, he won't be able to get this sorted without assistance of a court. The ex wont allow him a fair split financially or custody wise....at this point hes essentially done everything he can, but still won't go to court. I just wont understand how he can stand to ask permission to see/have his kids and even the bare minimum is too much to ask. I have left him as I don't think he is commited to our future together. I'm so disappointed and upset over it, but what else can I do? Ive tried so hard to help him. I love him dearly, and I know he loves me but the strain on our relationship is so crippling. I'm questioning his character and losing respect for him."
"Should I clear DHs debt with savings or take another card out for him to keep paying it back so he takes full responsibility for his mistake?","DH has a credit card with £4.5k on it though it's in my name as my credit rating is a lot better than DHs, though so far he has made all payments towards it. It was a balance transfer at 0% for 18 month, DH has only managed to get it down for £4.5k from £7k during that term. I have been on maternity leave so have been unable to save anything to put towards it, I returned to work a few months ago. There is no question that this is DHs debt, not mine. Long story short, he made a poor business decision that backfired massively and I took out the balance transfer card for him as he was paying over £100 a month in interest alone and he couldn't get one himself. I earn a lot more than DH and now that I have returned to work I have been able to save some money. Maternity leave ate all our savings so I went back with very little left over. However, I am projected to have saved £4000 by the time the 0% period comes to an end in April. DH should be able to cover the last £500 himself and it would clear the debt. I could then concentrate on starting to save up for us again. DH works very hard and we split bills proportional to our income. But despite paying a lot more towards our bills, I still end up with more 'spare money' than DH does which we don't split, we just put in savings and they are for the family but technically, it's my money. It's a bit of a bone of contention that we don't just split money all from one pot but DH is self employed, in a partnership and doesn't have a business bank account so it's very hard to work out exactly what is his money and what is the business' money so it has been his choice to agree what he needs to contribute towards family bills but otherwise keep our finances separate even though he'd definitely have more disposable income for himself if we split it but there we are. So I have saved this money but I do consider it 'our' money. I don't want to take out another 0% balance transfer card as honestly it just irritates me being in my name and sat there every time I open my banking app reminding me what a mess DH let himself get into before he told me how deep he'd got himself. But he simply cannot afford to clear it himself and I can. I also doubt DHs credit rating is good enough to take out such a high card on a long term 0% deal now either. So if we did do this, it would still have to be in my name. Do I just suck it up and pay it off and be done with it or do I take out another card and let DH keep paying it back, incredibly slowly. I'm annoyed at DH no end but really want to be clear; he is a good man, a good dad and a good husband. He works very hard and pays what he can and earns enough that his contribution to our family finances does contribute to our quality of life. He just made a bad mistake and got overwhelmed by it. He didn't tell me what was happening because I was pregnant and very unwell in pregnancy and he was hoping he could sort it before he had to worry me, this didn't happen obviously. So please no 'LTB'. Just genuinely, what should I do? Pay it off with our savings or let DH keep paying slowly on another card in my name?"
"Invasion of privacy - both upset","Both in early 50's and LTR. Due to work and personal trips my DH and I have only spent 3 days together in the last 4+ weeks (not a regular thing - just happened this way). He has been home 2 nights. Last night I came from work and could tell he was in a mood - we had the house to ourselves as our DS was out for a few hours, so there was an expectation we would have some time alone together - and yes, sex for the first time in 3 weeks. However he then told me that he had found (as he put it) loads of sex toys under my bed. I bought a clitoral stimulator a few weeks ago, for various reasons - he was away for 3 weeks, I've never liked vibrators and was intrigued to know what these did, and also I am not quite like I used on this department (not just sexually but with general pelvic floor strength and have an appointment with a pelvic floor physio booked in a weeks time). It was under the bed and zipped away in a cosmetics bag. His reaction to finding this has not been great. He has got all defensive about how it is just ""not like me"", that it must be because he can't please me (not true - I think we have a good sex life - we are just not 20 any more), but more than that essentially accused me of having an affair (he has over the years asked me if there is anyone else on multiple occasions - i have never given him any reason to doubt my fidelity). He even started gong on about a pair of shorts he found in the bedroom that weren't his (they are mine), saying ""you don't wear shorts"" !!??? We spoke for a bit afterwards and I felt it was a bit better - however, I don't believe for one second that we wasn't snooping - his reason for being there does not ring true to me, and I also felt I had to tell him about seeing the pelvic health specialist - something that I didn't want to discuss until I had had my appointment. There was also an incident a few weeks ago when he opened a letter to me from the hospital. I was away at the time and he told me - but I was really upset he did this - there was not reason for him to open this. When I explained that I was trying to get ""it all"" working like it used to - he said he couldn't see why i needed sex toys for that. I know this may make him feel not nice, and a threat to him but I am really upset by his reaction and snooping. I don't feel (if we have a regular sex life) that what I do by myself is any of his business. He also made a little ""quip"" in the evening of ""are you coming to join me or stay an play with your toy"" - said it was a joke but feel it is totally guilt tripping and shaming. For context - he is not a prude, I know he has watched loads of porn over the years (don't know if he still does) and has bought me vibrators in the past (I just didn't like them). He ended up getting up after a few hours and sleeping in the next room and then was just off with me this morning before we both went to work. Whilst I can appreciate he might not feel great about this I am really upset that I feel he is guilt tripping and punishing me for this. The people pleaser in me wants to make him feel better, but I also feel I need to stand my ground on my right to privacy (I do sometimes feel he has a sense of ownership towards me as I am his wife). Feeling rather numb about it all"
"Husband angry all the time","Any advice mumsnetters? My husband seems to be permanently angry. At me. At our dc. At his colleagues at work. At his mum. So fed up with it. Am wondering if this is a sign of a mid life crisis? Does anyone have any tips to make life easier other than LTB?!!"
"What got you through your breakup?","NC for this. Recently ended a LTR with a partner whom I'm currently in the process of trying to buy out (Still living together). I haven't been heartbroken since I was 17! So all these emotions feel so raw to me and my precious breakup took me 3 years to get over because it ended so drastically (Christmas Day). As it's my decision, I'm hoping it won't be half as bad as my previous experience but I'm going to have to live on my own for the first time and accept losing mutual friends. How on earth am I going to cope?"
"Sulking husband","Name change for this. Married 10 years. 2 young children. Busy jobs etc etc. My sex drive is basically non-existent. A combination of tiredness and uro-gynae issues (that I am under a specialist for) and if I'm honest no sexual attraction to my husband. But we still generally have sex about once a week. That isn't enough for my husband. He does this incredibly annoying thing when he gropes me when I am sleeping - squeezing my bum, boobs etc. I've repeatedly told him not to do this. It makes me feel really uncomfortable and as not to drip feed I was in an abusive relationship years ago when this type of thing happened and I basically just had to lie there while this guy had sex with me. That relationship has definitely given me an uncomfortable relationship/view on sex. My husband knows this!! Also my husband has been caught on sex hook-up websites although he's never acted on it??? So he says. But that's another reason I think I struggle with a sexual relationship. A couple of nights ago I was woken up with his fingers probing my vagina. I told him to stop which he did. But he's been in a mood with me ever since. Yesterday evening I brought it up and told him that I have asked him on many occasions not to do this. Can't he realise it makes me feel incredibly uncomfortable. His reply was ""can't I realise he's a sexual being"". He then stomped off and we've not spoken since. Our relationship hasn't been great for a while. I think I want us to break up but there's just so many practicalities in the way. And the relationship isn't awful. AIBU for telling him to stop touching me in my sleep and is his annoyance validated? Some practical advice would be great rather than a million LTB. Thank you"
"To put up a Christmas Tree tonight?","I just made a miserable AIBU so here's a less heavy one: I really want to put uo the tree because it's pretty :,) is it too early? (It's fake, 7foot and has fake now and berries 0<0)"
"Completely confused by what's normal regarding contact from friend who is in a LTR","My friend who I work with texts me every night and sometimes before work. I'm recently single. Texts range from work chat to idle chat to sending inappropriate reels of funny/sexy/ innuendo type of thing. These texts have increased since I've become single so I've reduced contact a little as it feels like he wants his ego stroking . He doesn't mention his partner of several years and he has only ever introduced her to me once. They live together. He has discussed their relationship in depth in the past but as previously said, doesn't mention her anymore. So am I correct? Is he looking for an ego rub or is he lonely or just enjoying the banter. I've no sexual interest in him. In fact I find I'm trying to distance myself at work as he will often pop into my office and sit himself at the edge of my desk for a chat. Or perhaps he feels he can be friendlier or make more contact given that my relationship is over? Odd one ?"
"Elon Musk","twitter.com/elonmusk/status/1636463718455189511?s=20 Minnesota Lt. Governor Peggy Flanagan on parenting and children changing their gender... ""When our children tell us who they are, it is our job as grown-ups to listen and to believe them. That's what it means to be a good parent."" Elon Musk: ""Not when they’re fed propaganda by adults. Moreover, every child goes through an identity crisis before their personality/identity crystallizes. Therefore, we shouldn’t allow severe, irreversible surgery or sterilizing drugs that they may regret until at least age 18."" TRAs brandishing their idea of a gotcha: ""This is why your trans daughter hates you and wants nothing to do with you."""
"Response to request to state pronouns","There have been a number of threads about how to respond if you're asked or required to state your pronouns. One of them mentioned an interesting concept whose name I've forgotten. I haven't been able to find the thread and wondered if anyone can tell me what this concept is called. It was called ""stereotype <something>"". It means that people can tend to live up to stereotypes about their sex, race etc - for example, that women aren't good at maths. In the case of pronouns, it means if you're female and have to give pronouns that make that clear, it reinforces your femaleness and you might then live up to the stereotype that you're not good at maths. What was this concept called? I thought it would be a good thing to mention if anyone tries to force me to state my pronouns."
"Mortgage and childcare","We’re currently in the process of selling our place and hopefully moving into a bigger sized property, but we’ve ran into an issue with our mortgage. At present, we do not pay for childcare as I’m on maternity leave and then they will be looked after by my mum and me taking AL, but we’ve not yet decided (or even signed up to a nursery) if they will go part time once my AL runs out. The bank is asking for any future outgoings and childcare is one of them. As we’ve said we don’t know if this will change yet they’ve asked for an estimated amount if we did pay for childcare (estimated £700 per month based on daily rates). This is reducing the amount they would lend us by £100k, meaning we won’t be able to buy the house! Our LTV is 50%, if they offered us the full amount we owe, so we’re in a good financial position on the house. How is this even fair? We’ve not even decided if we will go through with a nursery place, so how can we be penalised by this when it may not even happen!"
"Worried my lazy CF mat leave cover will make me redundant?","Sorry this is super long but don’t want to drip feed. I've been fortunate enough to have a 3 month handover period with my maternity leave cover before I go on leave in March. To set the scene, I work in the UK, but remotely in a global role in marketing - my colleagues are all over the world. I am subject to UK employment laws. My concern is that a lazy/underperforming mat leave cover may look really bad for my role while I'm away, and given it is a known thing that restructuring is happening, I'm worried about my position. If the cover doesn't perform/makes my position look bad/redundant (i.e. not producing anything of value) I worry my role will be made redundant. A lot of my job is self directed but what I produce adds value. My cover is someone from an agency our company uses (rather than a maternity contract position). I had no say in my cover, my manager went for this option as it was cheaper than hiring a contractor. She lives in another part of the world. When I come online at 9, it's the last two hours of her day (3-5pm). I asked her at the start of Nov whether she was 100% allocated to this role, and she said yes. I've been handing over and training up the cover for almost one month. This involves a 2 hour meeting where I go through work that I do and she shadows/I talk her through it, or direct training with training decks and documentation, and sometimes joining meetings I attend. That would lead me to expect that she has another 6 hours to fill in the day - 4-5hrs if I'm being generous with multiple breaks in the day. At first I was a bit daunted as I didn't know how I was going to fill her other 6 hours. But now I'm very much feeling on the other end of the spectrum... I share a list of bite size tasks, exercises, training videos, documentation for her to do that is the outcome of our daily meetings, with the expectation that she can EASILY complete these in the 9am-3pm window she has the next day before our meeting. I am not exaggerating when I say most of these activities should not take more than 30 minutes each (a VERY generous estimate - some are 5 minute jobbies), maybe in total over the month there have been 2-3 activities which could take roughly an hour (as in, watch a training video or a recorded meeting). I would ask the next day how she went with X,Y,Z activities, did she have any questions, and most of the time, nothing has been done for a few days. This pattern of behaviour consistently for a month! At any given point, there would not have been more than 3 activities to do. We end up doing some of the activities together in our meeting, because I'm actually stuck and can't move forward with a piece of work until it's been done, and I want to harness the teaching opportunity/get her to get get hands on, rather than do it myself which might take me <5 minutes (think editing a Facebook post from ""2023"" to ""2024"" or something small to this effect). It's not even that she attempts to do it and is stuck - that is not a problem, I genuinely love teaching and helping my colleagues. I want to see her succeed. I am despairing because NOTHING has been done because she has been busy 'running errands', or going to 'appointments' (6 hours worth of appointments in one day??) , or sick kids. I get it with the sick kids and had empathy for this (have my own), and in my head I've written them off as a Carer's Leave days, but why are you running errands or decorating your house for Christmas (yes she told me this!?) on company time? I'm in an awkward position because I'm not her manager - I'm just the person who is handing over to her. I am not here to performance manage. I am 100% sure that this attitude will continue over into the year I'm taking out for maternity leave, and not even the bare minimum will get done without lots of reminders and prompting from others. My manager is super hands off, trusts me to get on with my responsibilities, and doesn't really like to get involved in performance/conflict/confrontation etc. He will probably ask me when we catch up how the handover is going, and I plan to tell him that it's slow going because of the various disruptions, and that I'm struggling to understand why she is unable to complete (VERY generously estimating) 1-2 hours worth of tasks, when she has 6 hours to spare in the day. I want to say that I'm concerned about how this will reflect on my role when I'm away. I don’t think he will do any performance management whilst I’m away, it is just not his style. I would be grateful to MN to give any advice on Whether there is any law in the UK that would protect my role from being made redundant whilst I am on maternity leave, especially if it is related to the performance of my cover? Any thoughts on how to approach (and continue to communicate) this issue with my manager? Any ideas on how to protect myself/role (e.g. I've just started to try and keep a log of the 'busy running errands' and 'decorating' comments - which feels really petty from me but not sure what else to do) Anything else would be really helpful. I really like my job, and really worried it's all going to turn to sh*t when I'm away and my cover makes my role look useless. The main thing is, I don't want to role to be made redundant because it looks like it isn't contributing anything of value for a year. Thanks in advance!"
"How can this not be all over the news?","https://www.telegraph.co.uk/news/2023/05/15/ivf-clinic-whistleblower-wrongfully-sacked-tribunal/ https://www.gov.uk/employment-tribunal-decisions/ms-a-henderson-v-gcrm-ltd-and-others-4102334-slash-2022 For those who do not have time to read all 82 pages, let me summarise main points for you. -Lab was critically understaffed and unsafe -Errors were made including binning eggs, using wrong media, using expired media, not topping up tanks with patients' material. Success rates were poor. -Business manager was pushing for more patients (60% instead of 35%) to have invasive ICSI as it was more profitable. Without clinical indications. -Lab manager was reporting all the problems but she was being ignored. She was asking for the workload to be reduced but instead, business manager was asking for it to be increased for profits. How can this not be all over the news??"
"To park this life goal for now","TL,DR: house buying in current times !! Everyone talking about how rates are soaring. An article I saw yesterday saying FTBs will now pay over 10k in interest on average was the final straw. Apparently your actual equity would only account for 30% of the astronomically large payments. We have a deposit saved away in ISA but would still need a 95% (possibly 90) LTV so is a high risk for negative equity(owing more to the bank than the value of the house). This will matter and might come back to bite us as like most (all) people getting onto the ladder we can’t afford the home we’ll live in forever straight away, sadlynot practical for us We rent in a beautiful village where everyone knows one another and there is zero risk of being evicted, and payments will only go up by nominal amounts. So lucky for this. Is being a homeowner worth it if you’re compromising on other areas of life ?? It’s always been my goal but lately I’ve been thinking we might as well enjoy life a bit more rather than being so house poor and maxing out our budget. A low deposit and an extremely long term is essentially renting from the bank with all the drawbacks of property maintenance, right ? Just sounds like the opposite of secure to me Even thinking now DH and I could make the best of our little home despite being rented and start our family here given we would then have a larger amount of disposable income to help buffer reduced income over maternity, then later childcare fees (although we will only need one full day of paid childcare anyway). We earn equally and I do intend to go back to work FT and love my job. Maybe this is illogical as lenders would then lop more off our affordability for dependant, though DHs salary should be on the rise over the next several years with commission and enhancements anyway. I do see my attitude might be wrong but trying to be considered based on the research I have done, and other threads read on here"
"Marriage/LTR v weekend life","AIBU to think that some men and women leave a LTR when family life gets dull or demanding … to have an alternate life, with child free time and no life stresses with a new partner may seem appealing?"
